"ds","y","cap"
"1926-10-01",18.14703818,25.334
"1926-11-01",15.19202308,25.334
"1926-12-01",11.47402023,25.334
"1927-01-01",10.80790513,25.343
"1927-02-01",11.8205188,25.343
"1927-03-01",14.80399003,25.343
"1927-04-01",17.92156182,25.343
"1927-05-01",20.51283732,25.343
"1927-06-01",22.27835413,25.343
"1927-07-01",23.37921567,25.343
"1927-08-01",23.02575556,25.343
"1927-09-01",21.38480627,25.343
"1927-10-01",18.61401937,25.343
"1927-11-01",15.26440057,25.343
"1927-12-01",11.414751,25.343
"1928-01-01",11.19733219,25.352
"1928-02-01",12.11577293,25.352
"1928-03-01",14.68620228,25.352
"1928-04-01",18.09733504,25.352
"1928-05-01",20.80545556,25.352
"1928-06-01",22.05463618,25.352
"1928-07-01",23.42511852,25.352
"1928-08-01",22.89304017,25.352
"1928-09-01",21.36072877,25.352
"1928-10-01",18.29271225,25.352
"1928-11-01",15.30302934,25.352
"1929-01-01",10.1199604,25.361
"1929-02-01",10.26806581,25.361
"1929-03-01",14.77161624,25.361
"1929-04-01",17.50816182,25.361
"1929-05-01",20.91180741,25.361
"1929-06-01",22.21079088,25.361
"1929-07-01",23.17921111,25.361
"1929-08-01",23.11082165,25.361
"1929-09-01",21.35952621,25.361
"1929-10-01",18.44561111,25.361
"1929-11-01",15.0693396,25.361
"1929-12-01",11.75614103,25.361
"1930-01-01",10.68183077,25.37
"1930-02-01",12.3224584,25.37
"1930-03-01",15.40252137,25.37
"1930-04-01",18.14075328,25.37
"1930-05-01",20.73263134,25.37
"1930-06-01",22.48737094,25.37
"1930-07-01",23.33380513,25.37
"1930-08-01",23.18616752,25.37
"1930-09-01",21.24324245,25.37
"1930-10-01",18.40030256,25.37
"1930-11-01",15.03995613,25.37
"1930-12-01",11.82234046,25.37
"1931-01-01",11.16970684,25.379
"1931-02-01",11.52007407,25.379
"1931-03-01",14.83155783,25.379
"1931-04-01",17.85216809,25.379
"1931-05-01",20.82709658,25.379
"1931-06-01",22.69163704,25.379
"1931-07-01",23.26728177,25.379
"1931-08-01",23.1550792,25.379
"1931-09-01",21.10713276,25.379
"1931-10-01",18.31680427,25.379
"1931-11-01",14.97593305,25.379
"1931-12-01",11.91487265,25.379
"1932-01-01",11.83473248,25.388
"1932-02-01",11.4240661,25.388
"1932-03-01",14.2908604,25.388
"1932-04-01",17.98884046,25.388
"1932-05-01",20.77428205,25.388
"1932-06-01",22.42387835,25.388
"1932-07-01",23.40191738,25.388
"1932-08-01",23.22369858,25.388
"1932-09-01",21.61344929,25.388
"1932-10-01",18.59778575,25.388
"1932-11-01",15.03174501,25.388
"1932-12-01",12.00195983,25.388
"1933-01-01",10.15804131,25.397
"1933-02-01",11.89513647,25.397
"1933-03-01",14.62678661,25.397
"1933-04-01",17.63506382,25.397
"1933-05-01",20.59780627,25.397
"1933-06-01",22.10219174,25.397
"1933-07-01",23.45645698,25.397
"1933-08-01",23.08792051,25.397
"1933-09-01",21.3375735,25.397
"1933-10-01",18.26408746,25.397
"1933-11-01",14.75472934,25.397
"1933-12-01",11.22505698,25.397
"1934-01-01",10.38614957,25.406
"1934-02-01",12.01505442,25.406
"1934-03-01",14.65965641,25.406
"1934-04-01",17.9340963,25.406
"1934-05-01",21.16615442,25.406
"1934-06-01",22.56288291,25.406
"1934-07-01",23.47586467,25.406
"1934-08-01",23.07654644,25.406
"1934-09-01",21.50398006,25.406
"1934-10-01",18.23251453,25.406
"1934-11-01",14.98344046,25.406
"1934-12-01",12.34437293,25.406
"1935-01-01",10.52880228,25.415
"1935-02-01",12.69988746,25.415
"1935-03-01",15.25473191,25.415
"1935-04-01",17.59896154,25.415
"1935-05-01",20.43910627,25.415
"1935-06-01",22.63842137,25.415
"1935-07-01",23.24997949,25.415
"1935-08-01",23.02167863,25.415
"1935-09-01",21.28512137,25.415
"1935-10-01",18.80310199,25.415
"1935-11-01",14.74095128,25.415
"1935-12-01",11.50944843,25.415
"1936-01-01",11.05566239,25.424
"1936-02-01",11.61992963,25.424
"1936-03-01",14.83810313,25.424
"1936-04-01",17.75794103,25.424
"1936-05-01",20.87764017,25.424
"1936-06-01",22.44638462,25.424
"1936-07-01",23.41847607,25.424
"1936-08-01",23.03993618,25.424
"1936-09-01",21.38064444,25.424
"1936-10-01",18.11117863,25.424
"1936-11-01",15.05636467,25.424
"1936-12-01",12.16697778,25.424
"1937-01-01",10.60136239,25.433
"1937-02-01",12.67559459,25.433
"1937-03-01",14.77599715,25.433
"1937-04-01",17.89452764,25.433
"1937-06-01",22.57922222,25.433
"1937-07-01",23.42989202,25.433
"1937-08-01",23.54970969,25.433
"1937-09-01",21.67670342,25.433
"1937-10-01",18.48849573,25.433
"1937-11-01",15.0188735,25.433
"1937-12-01",11.51629487,25.433
"1938-01-01",11.1051547,25.442
"1938-02-01",12.25387322,25.442
"1938-03-01",15.73211823,25.442
"1938-04-01",18.21761481,25.442
"1938-05-01",20.83177721,25.442
"1938-06-01",22.27231225,25.442
"1938-07-01",23.41857692,25.442
"1938-08-01",23.38189088,25.442
"1938-09-01",21.53249373,25.442
"1938-10-01",18.77478319,25.442
"1938-11-01",15.21495299,25.442
"1938-12-01",11.52110484,25.442
"1939-01-01",11.42419516,25.451
"1939-02-01",12.50731026,25.451
"1939-03-01",14.60223504,25.451
"1939-04-01",17.92796809,25.451
"1939-05-01",20.89658034,25.451
"1939-06-01",22.57645698,25.451
"1939-07-01",23.45844729,25.451
"1939-08-01",23.41618319,25.451
"1939-09-01",21.36639943,25.451
"1939-10-01",18.31332194,25.451
"1939-11-01",15.11010484,25.451
"1939-12-01",12.12511225,25.451
"1940-01-01",9.524213105,25.46
"1940-02-01",11.70357322,25.46
"1940-03-01",14.58730171,25.46
"1940-04-01",18.06438462,25.46
"1940-05-01",20.85756239,25.46
"1940-06-01",22.6704812,25.46
"1940-07-01",23.46104444,25.46
"1940-08-01",22.78835043,25.46
"1940-09-01",21.38356182,25.46
"1940-10-01",18.47249402,25.46
"1940-11-01",15.44539715,25.46
"1940-12-01",12.12768376,25.46
"1941-01-01",10.93251054,25.469
"1941-02-01",12.58586524,25.469
"1941-03-01",15.2011943,25.469
"1941-04-01",18.36578205,25.469
"1941-05-01",20.84006353,25.469
"1941-06-01",22.57700826,25.469
"1941-07-01",23.54344615,25.469
"1941-08-01",23.1539302,25.469
"1941-09-01",21.0789453,25.469
"1941-10-01",18.57757464,25.469
"1941-11-01",14.85037265,25.469
"1941-12-01",12.15968091,25.469
"1942-01-01",9.966752137,25.478
"1942-02-01",11.41467749,25.478
"1942-03-01",15.21887578,25.478
"1942-04-01",18.20243476,25.478
"1942-05-01",20.86896382,25.478
"1942-06-01",22.69273077,25.478
"1942-07-01",23.21431538,25.478
"1942-08-01",23.09259231,25.478
"1942-09-01",21.50751083,25.478
"1942-10-01",18.70357664,25.478
"1942-11-01",15.11312678,25.478
"1942-12-01",11.94276239,25.478
"1943-01-01",10.56415014,25.487
"1943-02-01",12.36522165,25.487
"1943-03-01",15.0353584,25.487
"1943-04-01",17.97294729,25.487
"1943-05-01",21.02632365,25.487
"1943-06-01",22.31533561,25.487
"1943-07-01",23.27187151,25.487
"1943-08-01",23.15257123,25.487
"1943-09-01",21.46123903,25.487
"1943-10-01",18.65384444,25.487
"1943-11-01",14.95190142,25.487
"1943-12-01",12.22299345,25.487
"1944-01-01",11.52942678,25.496
"1944-02-01",12.13770798,25.496
"1944-03-01",14.79737265,25.496
"1944-04-01",17.81361766,25.496
"1944-05-01",20.92745442,25.496
"1944-06-01",22.54562051,25.496
"1944-07-01",23.40665869,25.496
"1944-08-01",23.38604046,25.496
"1944-09-01",21.6194245,25.496
"1944-10-01",18.51188689,25.496
"1944-11-01",15.00758604,25.496
"1944-12-01",11.08676724,25.496
"1945-01-01",9.937321083,25.505
"1945-02-01",11.62835071,25.505
"1945-03-01",15.13373561,25.505
"1945-04-01",18.28767749,25.505
"1945-05-01",20.5534943,25.505
"1945-06-01",22.51335783,25.505
"1945-07-01",23.19202308,25.505
"1945-08-01",23.40605442,25.505
"1945-09-01",21.65681197,25.505
"1945-11-01",15.24153333,25.505
"1945-12-01",11.37349687,25.505
"1946-01-01",11.1028698,25.514
"1946-02-01",13.07942194,25.514
"1946-03-01",15.04169687,25.514
"1946-04-01",18.75794473,25.514
"1946-05-01",20.8996567,25.514
"1946-06-01",22.60930598,25.514
"1946-07-01",23.47276781,25.514
"1946-08-01",23.31058262,25.514
"1946-09-01",21.80554473,25.514
"1946-10-01",18.23027407,25.514
"1946-11-01",15.43060085,25.514
"1946-12-01",11.47253419,25.514
"1947-01-01",10.64256467,25.523
"1947-02-01",11.29298832,25.523
"1947-03-01",15.08769316,25.523
"1947-04-01",18.61600741,25.523
"1947-05-01",21.15376895,25.523
"1947-06-01",22.80348006,25.523
"1947-07-01",23.49792251,25.523
"1947-08-01",23.47410769,25.523
"1947-09-01",21.73502821,25.523
"1947-10-01",18.23639117,25.523
"1947-11-01",15.13282051,25.523
"1947-12-01",11.81354615,25.523
"1948-01-01",11.7383641,25.532
"1948-02-01",12.3693453,25.532
"1948-03-01",14.9405396,25.532
"1948-04-01",18.57787664,25.532
"1948-05-01",21.17279259,25.532
"1948-06-01",22.78014758,25.532
"1948-07-01",23.25042479,25.532
"1948-08-01",23.08661567,25.532
"1948-09-01",21.49817236,25.532
"1948-10-01",18.43578006,25.532
"1948-11-01",14.91981766,25.532
"1948-12-01",12.17579601,25.532
"1949-01-01",11.57801425,25.541
"1949-02-01",12.47906838,25.541
"1949-03-01",14.73038291,25.541
"1949-04-01",18.17855128,25.541
"1949-05-01",21.15717407,25.541
"1949-06-01",22.4611339,25.541
"1949-07-01",23.32079858,25.541
"1949-08-01",23.07454957,25.541
"1949-09-01",21.63801396,25.541
"1949-10-01",18.56529943,25.541
"1949-11-01",15.02192336,25.541
"1949-12-01",12.10667123,25.541
"1950-01-01",10.77238063,25.55
"1950-02-01",12.19746011,25.55
"1950-03-01",15.15200342,25.55
"1950-04-01",18.25257521,25.55
"1950-05-01",21.13289231,25.55
"1950-06-01",22.60014587,25.55
"1950-07-01",23.29125556,25.55
"1950-08-01",23.02238746,25.55
"1950-09-01",21.31790798,25.55
"1950-10-01",18.26069601,25.55
"1950-11-01",14.64121624,25.55
"1950-12-01",11.5119037,25.55
"1951-01-01",10.80986838,25.559
"1951-02-01",11.90849544,25.559
"1951-03-01",14.81684644,25.559
"1951-04-01",17.90051709,25.559
"1951-05-01",20.83999772,25.559
"1951-06-01",22.44519772,25.559
"1951-07-01",23.32640085,25.559
"1951-08-01",23.44956752,25.559
"1951-09-01",21.66760513,25.559
"1951-10-01",18.66746667,25.559
"1951-11-01",15.33917151,25.559
"1951-12-01",12.68210142,25.559
"1952-01-01",11.7525453,25.568
"1952-02-01",12.40967464,25.568
"1952-03-01",14.59106439,25.568
"1952-04-01",18.47940969,25.568
"1952-05-01",20.9955037,25.568
"1952-06-01",22.61387407,25.568
"1952-07-01",23.54180997,25.568
"1952-08-01",23.33055698,25.568
"1952-09-01",21.41280769,25.568
"1952-10-01",18.35546553,25.568
"1952-11-01",14.7458396,25.568
"1952-12-01",11.73055983,25.568
"1953-01-01",11.2486584,25.577
"1953-02-01",12.46074729,25.577
"1953-03-01",15.62827009,25.577
"1953-04-01",18.17053419,25.577
"1953-05-01",21.09351197,25.577
"1953-06-01",22.80017009,25.577
"1953-07-01",23.40059316,25.577
"1953-08-01",23.34442906,25.577
"1953-09-01",21.52901595,25.577
"1953-10-01",18.82626724,25.577
"1953-11-01",14.74882479,25.577
"1953-12-01",12.47159801,25.577
"1954-01-01",10.54609772,25.586
"1954-02-01",11.97236125,25.586
"1954-04-01",18.09840399,25.586
"1954-05-01",20.80264501,25.586
"1954-06-01",22.47776154,25.586
"1954-07-01",22.95251054,25.586
"1954-08-01",23.13751282,25.586
"1954-09-01",21.71071595,25.586
"1954-10-01",18.33707094,25.586
"1954-11-01",15.29840826,25.586
"1954-12-01",11.94283105,25.586
"1955-01-01",11.01575954,25.595
"1955-02-01",12.60996781,25.595
"1955-03-01",14.82283077,25.595
"1955-04-01",17.79855556,25.595
"1955-05-01",20.69110997,25.595
"1955-06-01",22.41653704,25.595
"1955-07-01",23.32307664,25.595
"1955-08-01",23.14703333,25.595
"1955-09-01",21.6221641,25.595
"1955-10-01",18.32790199,25.595
"1955-11-01",14.69621538,25.595
"1955-12-01",12.10550427,25.595
"1956-01-01",10.80814986,25.604
"1956-02-01",10.78538718,25.604
"1956-03-01",14.61524758,25.604
"1956-04-01",17.87271225,25.604
"1956-05-01",20.613951,25.604
"1956-06-01",22.12697009,25.604
"1956-07-01",22.8950604,25.604
"1956-08-01",22.63626182,25.604
"1956-09-01",21.29383333,25.604
"1956-10-01",18.24459573,25.604
"1956-11-01",14.09491795,25.604
"1956-12-01",11.67353561,25.604
"1957-01-01",10.85971481,25.613
"1957-02-01",12.36459687,25.613
"1957-03-01",14.79054302,25.613
"1957-04-01",18.06861054,25.613
"1957-05-01",20.61082678,25.613
"1957-06-01",22.60892707,25.613
"1957-07-01",23.39935128,25.613
"1957-08-01",23.17345242,25.613
"1957-09-01",21.27504501,25.613
"1957-10-01",18.42448889,25.613
"1957-11-01",15.42282279,25.613
"1957-12-01",12.58038291,25.613
"1958-01-01",11.4754812,25.622
"1958-02-01",12.72471595,25.622
"1958-03-01",14.92898348,25.622
"1958-04-01",18.31650969,25.622
"1958-05-01",21.24604046,25.622
